ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2025-12-07T23:00:00.415230186Z,2025-12-07T23:00:00.329466795Z,0,1,42264412,T,A,0,-0.090000000,21,0,14856,219544,CL:BZ J6-K6
2025-12-07T23:00:00.465238342Z,2025-12-07T23:00:00.426141641Z,0,1,240384,T,A,0,60.150000000,1,0,14193,222188,CLF6
2025-12-07T23:00:00.505746630Z,2025-12-07T23:00:00.478457071Z,0,1,240384,T,B,0,60.190000000,2,0,14522,223112,CLF6
2025-12-07T23:00:00.521649292Z,2025-12-07T23:00:00.510760627Z,0,1,447685,T,B,0,58.980000000,2,128,15280,223594,CLZ6
2025-12-07T23:00:00.521649292Z,2025-12-07T23:00:00.510760627Z,0,1,94735,T,N,0,-3.550000000,2,0,15280,223594,CLZ6-BZZ6
2025-12-07T23:00:00.664366609Z,2025-12-07T23:00:00.662684475Z,0,1,240384,T,A,0,60.140000000,1,0,15060,224360,CLF6
2025-12-07T23:00:00.758424698Z,2025-12-07T23:00:00.755925647Z,0,1,240384,T,A,0,60.120000000,1,0,15143,224545,CLF6
2025-12-07T23:00:00.994756349Z,2025-12-07T23:00:00.992936135Z,0,1,240384,T,B,0,60.140000000,1,0,15003,225022,CLF6
2025-12-07T23:00:01.055836652Z,2025-12-07T23:00:01.002977177Z,0,1,240384,T,N,0,60.180000000,1,0,16343,225300,CLF6
2025-12-07T23:00:01.055836652Z,2025-12-07T23:00:01.002977177Z,0,1,328214,T,N,0,39.350000000,1,0,16343,225300,CL:C1 HO-CL F6
2025-12-07T23:00:01.060248226Z,2025-12-07T23:00:01.011025097Z,0,1,240384,T,A,0,60.130000000,1,0,14955,225637,CLF6
2025-12-07T23:00:01.099335847Z,2025-12-07T23:00:01.097327119Z,0,1,175670,T,A,0,-3.840000000,21,0,14550,227257,CLH6-BZH6
2025-12-07T23:00:01.688160193Z,2025-12-07T23:00:01.686436617Z,0,1,240384,T,A,0,60.130000000,2,0,15184,228569,CLF6
2025-12-07T23:00:02.710752677Z,2025-12-07T23:00:02.709596773Z,0,1,240384,T,B,0,60.160000000,1,0,14893,229978,CLF6
2025-12-07T23:00:02.710752677Z,2025-12-07T23:00:02.709596773Z,0,1,240384,T,B,0,60.170000000,1,0,14893,229978,CLF6
2025-12-07T23:00:02.795203850Z,2025-12-07T23:00:02.793546995Z,0,1,240384,T,N,0,60.170000000,1,0,15102,230069,CLF6
2025-12-07T23:00:02.795203850Z,2025-12-07T23:00:02.793546995Z,0,1,383438,T,B,0,59.880000000,1,0,15102,230069,CLG6
2025-12-07T23:00:02.795203850Z,2025-12-07T23:00:02.793546995Z,0,1,383438,T,B,0,59.890000000,1,0,15102,230069,CLG6
2025-12-07T23:00:02.795203850Z,2025-12-07T23:00:02.793546995Z,0,1,215490,T,N,0,0.290000000,1,0,15102,230069,CLF6-CLG6
2025-12-07T23:00:05.263170258Z,2025-12-07T23:00:05.257458029Z,0,1,240384,T,N,0,60.170000000,1,0,17038,233764,CLF6
2025-12-07T23:00:05.263170258Z,2025-12-07T23:00:05.257458029Z,0,1,91224,T,N,0,17.490000000,1,0,17038,233764,CL:C1 RB-CL F6
2025-12-07T23:00:05.271401704Z,2025-12-07T23:00:05.265699323Z,0,1,175670,T,N,0,-3.840000000,1,0,14739,233888,CLH6-BZH6
2025-12-07T23:00:05.271401704Z,2025-12-07T23:00:05.265699323Z,0,1,97820,T,A,0,-3.720000000,1,0,14739,233888,CLJ6-BZJ6
2025-12-07T23:00:05.271401704Z,2025-12-07T23:00:05.265699323Z,0,1,42283438,T,N,0,-0.120000000,1,0,14739,233888,CL:BZ H6-J6
2025-12-07T23:00:05.274903331Z,2025-12-07T23:00:05.268669875Z,0,1,240384,T,A,0,60.180000000,1,128,15497,234010,CLF6
